date,prediction
2025-01-01 00:00:00+03:00,32297
2025-01-01 01:00:00+03:00,30678
2025-01-01 02:00:00+03:00,28892
2025-01-01 03:00:00+03:00,27699
2025-01-01 04:00:00+03:00,27015
2025-01-01 05:00:00+03:00,26890
2025-01-01 06:00:00+03:00,27185
2025-01-01 07:00:00+03:00,27415
2025-01-01 08:00:00+03:00,28192
2025-01-01 09:00:00+03:00,30271
2025-01-01 10:00:00+03:00,32491
2025-01-01 11:00:00+03:00,34537
2025-01-01 12:00:00+03:00,35203
2025-01-01 13:00:00+03:00,35794
2025-01-01 14:00:00+03:00,35897
2025-01-01 15:00:00+03:00,35798
2025-01-01 16:00:00+03:00,36570
2025-01-01 17:00:00+03:00,38182
2025-01-01 18:00:00+03:00,38968
2025-01-01 19:00:00+03:00,38447
2025-01-01 20:00:00+03:00,37674
2025-01-01 21:00:00+03:00,36853
2025-01-01 22:00:00+03:00,36302
2025-01-01 23:00:00+03:00,34900
2025-01-02 00:00:00+03:00,37301
2025-01-02 01:00:00+03:00,34688
2025-01-02 02:00:00+03:00,33046
2025-01-02 03:00:00+03:00,32201
2025-01-02 04:00:00+03:00,31941
2025-01-02 05:00:00+03:00,32086
2025-01-02 06:00:00+03:00,33290
2025-01-02 07:00:00+03:00,37070
2025-01-02 08:00:00+03:00,43261
2025-01-02 09:00:00+03:00,45672
2025-01-02 10:00:00+03:00,46213
2025-01-02 11:00:00+03:00,46262
2025-01-02 12:00:00+03:00,44963
2025-01-02 13:00:00+03:00,44854
2025-01-02 14:00:00+03:00,44901
2025-01-02 15:00:00+03:00,44627
2025-01-02 16:00:00+03:00,44637
2025-01-02 17:00:00+03:00,44982
2025-01-02 18:00:00+03:00,44500
2025-01-02 19:00:00+03:00,43330
2025-01-02 20:00:00+03:00,41998
2025-01-02 21:00:00+03:00,40723
2025-01-02 22:00:00+03:00,39382
2025-01-02 23:00:00+03:00,37750
2025-01-03 00:00:00+03:00,36580
2025-01-03 01:00:00+03:00,34218
2025-01-03 02:00:00+03:00,32701
2025-01-03 03:00:00+03:00,31929
2025-01-03 04:00:00+03:00,31759
2025-01-03 05:00:00+03:00,31986
2025-01-03 06:00:00+03:00,33062
2025-01-03 07:00:00+03:00,35970
2025-01-03 08:00:00+03:00,42385
2025-01-03 09:00:00+03:00,45619
2025-01-03 10:00:00+03:00,46308
2025-01-03 11:00:00+03:00,46411
2025-01-03 12:00:00+03:00,44697
2025-01-03 13:00:00+03:00,44407
2025-01-03 14:00:00+03:00,44748
2025-01-03 15:00:00+03:00,44326
2025-01-03 16:00:00+03:00,44255
2025-01-03 17:00:00+03:00,44551
2025-01-03 18:00:00+03:00,43765
2025-01-03 19:00:00+03:00,42218
2025-01-03 20:00:00+03:00,40665
2025-01-03 21:00:00+03:00,39264
2025-01-03 22:00:00+03:00,37868
2025-01-03 23:00:00+03:00,36443
2025-01-04 00:00:00+03:00,35823
2025-01-04 01:00:00+03:00,33331
2025-01-04 02:00:00+03:00,31697
2025-01-04 03:00:00+03:00,30878
2025-01-04 04:00:00+03:00,30574
2025-01-04 05:00:00+03:00,30633
2025-01-04 06:00:00+03:00,31335
2025-01-04 07:00:00+03:00,33212
2025-01-04 08:00:00+03:00,37525
2025-01-04 09:00:00+03:00,40637
2025-01-04 10:00:00+03:00,42166
2025-01-04 11:00:00+03:00,42960
2025-01-04 12:00:00+03:00,42220
